Motorista,1
Ônibus,A 
Via,Batalhão PM/Av. Nações
15:10,,,UNIVASF Campus Ciências Agrárias – CCA
15:15,,,IF Sertão
15:18,,,Entrada do Bairro Quati
15:23,,,SAMU
15:25,,,Feira da Cohab
15:30,,,Posto São Francisco
15:33,,,Delegacia do Ouro Preto
15:45,,,Colinas
15:48,,,Canteiro de Obras
15:50,,,Mecânica Bahia
15:52,,,Escola Adelina Almeida
15:55,,,Parada em frente ao Supermercado G Barbosa
16:00,,,UNIVASF Campus Petrolina Centro
16:15,,,UNIVASF Campus Juazeiro
Motorista,6
Ônibus,B
Via,Av. 7 Setembro
16:10,,,UNIVASF Campus Juazeiro
16:13,,,Supermercado G Barbosa Juazeiro
16:18,,,Parque Lagoa de Calú
16:20,,,Canteiro de Obras
16:25,,,Terminal de Juazeiro – Camelódromo 02 de Julho
16:35,,,Lateral Cemitério Campo das Flores – Centro
16:38,,,Sementeira
16:41,,,Ponto do CEAPE
16:45,,,Delegacia do Ouro Preto
16:48,,,ALDIEGAS
16:49,,,Posto São Francisco
16:50,,,Em frente à Feira da Cohab (Jardim Amazonas)
17:00,,,Em frente ao SAMU (Jardim Amazonas)
17:10,,,UNIVASF Campus Ciências Agrárias – CCA
Motorista,9
Ônibus,E
Via,Batalhão PM-BA/ Via Univasf Centro
17:00,,,UNIVASF Campus Juazeiro
17:05,,,Estação Velha / Cooperativa Brasil (juá)
17:10,,,Farmácia Popular (João XXIII)
17:15,,,Verdão
17:18,,,Lado do Batalhão da PM
17:21,,,Posto Raul Lins (Castelo Lins)
17:24,,,Equipadora Cordeiro (Alto do Cruzeiro)
17:28,,,Parque Lagoa de Calú
17:30,,,Canteiro de Obras
17:35,,,Terminal Coletivo Juazeiro
17:45,,,UNIVASF Campus Petrolina
18:10,,,UNIVASF Campus Ciências Agrárias – CCA
Motorista,5
Ônibus,A
Via,Av. Honorato/ Batalhão-BA
17:15,,,UNIVASF Campus Ciências Agrárias – CCA
17:20,,,IF Sertão
17:23,,,Entrada no Bairro Quati
17:26,,,SAMU
17:30,,,Feira da Cohab
17:35,,,Zé Nilton Automóveis
17:38,,,Del Veículos
17:48,,,Supermercado G Barbosa Juazeiro
17:53,,,Estação Velha / Cooperativa Brasil (juá)
17:58,,,Farmácia Popular (João XXIII)
18:03,,,Verdão
18:05,,,Ao lado do Batalhão da PM
18:10,,,Posto Raul Lins (Castelo Lins)
18:13,,,Equipadora Cordeiro (Alto do Cruzeiro)
18:15,,,Parque Lagoa de Calú
18:18,,,Canteiro de Obras
18:20,,,Terminal de Juazeiro – Camelódromo 02 de Julho
18:25,,,UNIVASF Campus Juazeiro
Motorista,6
Ônibus,B
Via,Honorato Viana
17:15,,,UNIVASF Campus Ciências Agrárias – CCA
17:20,,,IF Sertão
17:23,,,Entrada no Bairro Quati
17:25,,,SAMU
17:29,,,Feira da Cohab
17:33,,,Zé Nilton Automóveis
17:35,,,Del Veículos
17:38,,,Padaria Lisboa
17:42,,,Sementeira
17:45,,,SABEL
17:48,,,Parque Mundo da Lua (Av. Integração)
17:50,,,Caixa d’agua COMPESA
17:55,,,UNIVASF Campus Petrolina
18:10,,,Supermercado G Barbosa – Juazeiro
18:15,,,UNIVASF Campus Juazeiro
Motorista,7
Ônibus,C
Via,Av. 7 Setembro
17:15,,,UNIVASF Campus Ciências Agrárias – CCA
17:20,,,IF Sertão
17:23,,,Entrada no Bairro Quati
17:26,,,SAMU
17:30,,,Feira da Cohab
17:33,,,Posto São Francisco
17:35,,,Delegacia do Ouro Preto
17:38,,,Canteiro de Obras
17:40,,,Mecânica Bahia
17:45,,,Escola Adelina Almeida
17:50,,,Supermercado G Barbosa
17:53,,,NISSAN
17:56,,,UNIVASF Campus Petrolina Centro
18:07,,,Supermercado G Barboza – Juazeiro
18:10,,,AABB
18:15,,,UNIVASF Campus Juazeiro
Motorista,8
Ônibus,F
Via,Av. 7 Setembro/Batalhão-PM
17:15,,,UNIVASF Campus Ciências Agrárias – CCA
17:20,,,IF Sertão
17:23,,,Entrada no Bairro Quati
17:26,,,SAMU
17:30,,,Feira da Cohab
17:33,,,Posto São Francisco
17:35,,,Delegacia do Ouro Preto
17:38,,,Canteiro de Obras
17:40,,,Mecânica Bahia
17:45,,,Escola Adelina Almeida
17:50,,,Supermercado G Barbosa Petrolina
17:53,,,NISSAN
17:55,,,Ministério Público
17:56,,,UNIVASF Campus Petrolina Centro
18:13,,,Estação Velha / Cooperativa Brasil
18:18,,,Farmácia Popular (João XXIII)
18:23,,,Verdão
18:25,,,Ponto ao lado do Batalhão da PM
18:30,,,Posto Raul Lins (Castelo Lins)
18:33,,,Equipadora Cordeiro (Alto do Cruzeiro)
18:35,,,Parque Lagoa de Calú
18:35,,,Canteiro de Obras
18:40,,,Terminal de Juazeiro – Camelódromo 02 de Julho
18:45,,,UNIVASF Campus Juazeiro
Motorista,9
Ônibus,E
Via,Honorato/Batalhão PM-BA
18:15,,,UNIVASF Campus Ciências Agrárias
18:20,,,IF Sertão
18:23,,,Bairro Quati
18:25,,,SAMU
18:30,,,Feira da Cohab
18:34,,,Zé Nilton Automóveis
18:37,,,Escola Paul Harris
18:40,,,Del Veículos
18:42,,,UNIVASF Campus Petrolina Centro
18:52,,,Estação Velha / Cooperativa Brasil (juá)
18:55,,,Farmácia Popular (João XXIII)
18:57,,,Verdão
18:59,,,Lado do Batalhão da PM
18:02,,,Posto Raul Lins (Castelo Lins)
18:04,,,Equipadora Cordeiro (Alto do Cruzeiro)
18:07,,,Parque Lagoa de Calú
19:10,,,Canteiro de Obras
19:15,,,TV São Francisco
19:20,,,UNIVASF Campus Juazeiro
Motorista,10
Ônibus,D
Via,Av. 7 de Setembro
18:15,,,UNIVASF Campus Ciências Agrárias – CCA
18:20,,,IF Sertão
18:23,,,Entrada no Bairro Quati
18:27,,,SAMU
18:30,,,Feira da Cohab
18:35,,,Posto São Francisco
18:38,,,Delegacia do Ouro Preto
18:40,,,Espacial/Palhoça
18:42,,,Canteiro de Obras
18:48,,,Mecânica Bahia
18:50,,,Escola Adelina Almeida
18:53,,,Supermercado G Barbosa Petrolina
18:55,,,NISSAN
18:57,,,Ministério Público
19:00,,,UNIVASF Campus Petrolina centro
19:10,,,Supermercado G Barbosa (Juazeiro)
19:15,,,UNIVASF Campus Juazeiro
Motorista,11
Ônibus,C
Via,7/Honorato/Nilo Coelho
18:30,,,UNIVASF Campus Juazeiro
18:32,,,Sanfra Motos
18:36,,,Estação Velha / Cooperativa Brasil
18:38,,,Farmácia Popular (João XXIII)
18:40,,,Verdão
18:43,,,Ao lado do Batalhão da PM
18:45,,,Posto Raul Lins (Castelo Lins)
18:48,,,Equipadora Cordeiro (Alto do Cruzeiro)
18:50,,,Parque Lagoa de Calú
18:52,,,Canteiro de Obras – Juazeiro
18:55,,,TV São Francisco – Juazeiro
19:00,,,Terminal de Juazeiro – Camelódromo 02 de Julho
19:05,,,Posto de Gasolina em frente ao SAF
19:07,,,Parada Rodoviária – Petrolina
19:10,,,Sindicato Rural
19:13,,,Sementeira
19:16,,,Sabel
19:18,,,Parque Mundo da Lua
19:20,,,Caixa d’agua COMPESA
19:22,,,UNIVASF Campus Petrolina Centro
19:24,,,Bar da Tripa
19:26,,,Supermercado G Barbosa
19:30,,,Grande Rio Veículos
19:32,,,Posto Texaco Big Brother
19:35,,,Mecânica Bahia
19:38,,,Colinas
19:40,,,Rádio Grande Rio
19:42,,,Via Militar
19:44,,,Posto São Francisco
19:47,,,Em frente à Feira da Cohab Massangano (Jardim Amazonas)
19:49,,,Em frente ao SAMU (Jardim Amazonas)
19:52,,,Distribuidora COMPARE
19:58,,,Disk Auto Elétrico
20:03,,,Everest Motos
20:05,,,Posto Entrada do Rio Corrente
20:07,,,Rotatória da Tapera
20:10,,,Parada em frente à Plante Bem
20:13,,,Zé Nilton Automóveis
20:15,,,Del Veículos
20:25,,,Parada G Barbosa Juazeiro
20:30,,,UNIVASF Campus Juazeiro
Motorista,10
Ônibus,D
Via,Honorato/Integração
21:15,,,UNIVASF Campus Juazeiro
21:17,,,Sanfra Motos
21:20,,,Parque Lagoa de Calú
21:25,,,Canteiro de Obras – Juazeiro
21:28,,,TV São Francisco – Juazeiro
21:30,,,Terminal de Juazeiro – Camelódromo 02 de Julho
21:55,,,UNIVASF Campus Juazeiro
Motorista,11
Ônibus,C
Via,Av. 7 Setembro
21:15,,,UNIVASF Campus Juazeiro
21:20,,,Terminal de Juazeiro – Camelódromo 2 de Julho
21:30,,,SAF
21:32,,,Rodoviária – Petrolina (Av. das Nações)
21:33,,,Sindicato Rural dos Trabalhadores
21:35,,,Sementeira
21:38,,,Sabel
21:40,,,Parque Mundo da Lua
21:43,,,Caixa d’água COMPESA
21:45,,,UNIVASF Campus Petrolina Centro
Motorista,10
Ônibus,D
Via,Batalhão-PM/ Nilo Coelho/ 7 Setembro/ Honorato
22:15,,,UNIVASF Campus Juazeiro
22:16,,,Sanfra Motos
22:18,,,Estação Velha / Cooperativa Brasil
22:19,,,Verdão
22:21,,,Em frente ao Batalhão da PM
22:22,,,Equipadora Cordeiro
22:25,,,Parque Lagoa de Calú
22:26,,,Terminal de Juazeiro
22:30,,,Corpo de Bombeiros Petrolina
22:31,,,Praça da Ambiental
22:32,,,Praça da Sementeira
22:34,,,INCRA
22:36,,,SABEL (Grau Técnico)
22:37,,,Parque Mundo da Lua
22:40,,,UNIVASF Campus Petrolina
22:43,,,Supermercado G Barbosa
22:46,,,Posto Texaco
22:48,,,Mecânica Bahia
22:49,,,Colinas
22:51,,,Rádio Grande Rio
22:53,,,Vila Militar
22:55,,,Posto São Francisco
22:57,,,Feira da Cohab
23:00,,,Distribuidora COMPARE
23:02,,,Disk Auto Elétrico
23:03,,,Everest Motos
23:05,,,Posto Entrada do Rio Corrente
23:07,,,Rotatória da Tapera
23:10,,,Parada em frente à Plante Bem
23:12,,,Zé Nilton Automóveis
23:15,,,Del Veículos
23:25,,,UNIVASF Campus Juazeiro
Motorista,11
Ônibus,C
Via,Av. 7 Setembro/Honorato/Batalhão-PM
22:15,,,UNIVASF Campus Petrolina
22:17,,,Bar da Tripa
22:19,,,Parada Supermercado G Barbosa
22:22,,,Parada Posto Texaco
22:25,,,Parada Mecânica Bahia
22:27,,,Parada Colinas
22:30,,,Parada Rádio Grande Rio
22:33,,,Parada Vila Militar
22:35,,,Parada Posto São Francisco
22:38,,,Parada Feira da Cohab
22:40,,,Parada SAMU
22:42,,,Distribuidora COMPARE
22:46,,,Disk Auto Elétrico
22:49,,,Everest Motos
22:51,,,Posto Entrada do Rio Corrente
22:53,,,Rotatória da Tapera
22:55,,,Parada em frente à Plante Bem
22:59,,,Zé Nilton Automóveis
23:02,,,Del Veículos
23:12,,,Parada G Barbosa Juazeiro
23:17,,,Estação Velha / Cooperativa Brasil
23:19,,,Farmácia Popular (João XXIII)
23:21,,,Verdão
23:23,,,Em frente ao Batalhão da PM
23:25,,,Posto Raul Lins
23:27,,,Equipadora Cordeiro (Alto do Cruzeiro)
23:30,,,Parque Lagoa de Calú
23:32,,,Canteiro de Obras
23:35,,,Terminal de Juazeiro
23:40,,,UNIVASF Campus Juazeiro
